quincena,date,open,close,variacion,sector
2018-06-Q2,2018-06-19,46.65466794035107,46.49508666992188,-0.003420478110212118,df_xlc
2018-07-Q1,2018-07-02,46.100817734069366,48.52272415161133,0.05253499908640726,df_xlc
2018-07-Q2,2018-07-16,48.60722350423251,45.49063873291016,-0.0641177287373957,df_xlc
2018-08-Q1,2018-08-01,45.58451129063012,45.86613845825195,0.006178132871191345,df_xlc
2018-08-Q2,2018-08-16,46.175915075103184,46.16654586791992,-0.00020290246913403756,df_xlc
2018-09-Q1,2018-09-04,46.04449815573625,45.40616226196289,-0.013863456424572514,df_xlc
2018-09-Q2,2018-09-17,45.45309621341679,46.1220588684082,0.01471764765705768,df_xlc
2018-10-Q1,2018-10-01,46.282078838206616,43.47710037231445,-0.06060614683488691,df_xlc
2018-10-Q2,2018-10-16,43.9477370215476,43.33591079711914,-0.013921677562794268,df_xlc
2018-11-Q1,2018-11-01,43.4771066010223,42.451114654541016,-0.023598441264653044,df_xlc
2018-11-Q2,2018-11-16,42.20640516637853,42.36640548706055,0.003790901405871729,df_xlc
2018-12-Q1,2018-12-03,43.27942280012017,41.048641204833984,-0.051543700238072365,df_xlc
2018-12-Q2,2018-12-17,40.898034293354655,38.98199081420898,-0.04684928046669,df_xlc
2019-01-Q1,2019-01-02,38.33983911694661,42.13605499267578,0.09901491407279296,df_xlc
2019-01-Q2,2019-01-16,42.18327965747331,43.56199645996094,0.03268396420768516,df_xlc
2019-02-Q1,2019-02-01,43.46756149392326,43.60920715332031,0.0032586520736124433,df_xlc
2019-02-Q2,2019-02-19,43.48645319286479,43.36368560791016,-0.002823122511512935,df_xlc
2019-03-Q1,2019-03-01,43.64699004594512,44.48076629638672,0.019102720475430844,df_xlc
2019-03-Q2,2019-03-18,44.291586627858194,44.24427032470703,-0.0010682909950532804,df_xlc
2019-04-Q1,2019-04-01,44.58483423512956,46.33492660522461,0.039253086842613014,df_xlc
2019-04-Q2,2019-04-16,46.46736489863603,47.36606216430664,0.019340396590833853,df_xlc
2019-05-Q1,2019-05-01,47.56471412031242,46.287628173828125,-0.026849440180676316,df_xlc
2019-05-Q2,2019-05-16,46.31600442255584,44.546993255615234,-0.038194382028323266,df_xlc
2019-06-Q1,2019-06-03,44.11183652296474,45.52137756347656,0.03195380540953028,df_xlc
2019-06-Q2,2019-06-17,45.69164252011028,46.67366027832031,0.021492284016225032,df_xlc
2019-07-Q1,2019-07-01,47.19520461994718,48.59864044189453,0.029736830960876665,df_xlc
2019-07-Q2,2019-07-16,48.62708577091454,48.15294647216797,-0.009750518486348813,df_xlc
2019-08-Q1,2019-08-01,48.28570393057407,45.63056945800781,-0.05498800382787944,df_xlc
2019-08-Q2,2019-08-16,46.00985951178119,46.96762466430664,0.020816519821804942,df_xlc
2019-09-Q1,2019-09-03,46.64520174481426,48.636566162109375,0.042691731256506035,df_xlc
2019-09-Q2,2019-09-16,48.35208796757952,47.06766128540039,-0.026564037586967282,df_xlc
2019-10-Q1,2019-10-01,47.1912283820766,47.99913787841797,0.01711990817022711,df_xlc
2019-10-Q2,2019-10-16,47.885082953544696,48.11318206787109,0.0047634691276963815,df_xlc
2019-11-Q1,2019-11-01,48.38882937933237,49.41535186767578,0.021214038477687457,df_xlc
2019-11-Q2,2019-11-18,49.33929175807049,49.95711517333984,0.01252193522150206,df_xlc
2019-12-Q1,2019-12-02,50.0046345915874,49.95711517333984,-0.0009503002798775566,df_xlc
2019-12-Q2,2019-12-16,50.23275332660947,51.085060119628906,0.016967152636006323,df_xlc
2020-01-Q1,2020-01-02,51.40892971439425,53.16160202026367,0.03409276006340752,df_xlc
2020-01-Q2,2020-01-16,53.39021901786328,51.35176467895508,-0.03818029549993375,df_xlc
2020-02-Q1,2020-02-03,51.77088909478668,54.23797607421875,0.04765394264168631,df_xlc
2020-02-Q2,2020-02-18,54.1236795558449,48.35123825073242,-0.10665278769815466,df_xlc
2020-03-Q1,2020-03-02,48.85610131890004,43.99811172485352,-0.09943465530204303,df_xlc
2020-03-Q2,2020-03-16,37.63510275940452,42.25938034057617,0.12287139511040947,df_xlc
2020-04-Q1,2020-04-01,41.02713005142156,45.44029235839844,0.1075669270905769,df_xlc
2020-04-Q2,2020-04-16,45.77461321289033,48.02896499633789,0.04924895319077706,df_xlc
2020-05-Q1,2020-05-01,47.52268931146179,48.95554733276367,0.030151029793600036,df_xlc
2020-05-Q2,2020-05-18,49.500013325636296,51.60153579711914,0.04245498799481042,df_xlc
2020-06-Q1,2020-06-01,51.47734503483335,52.528106689453125,0.020412118261125437,df_xlc
2020-06-Q2,2020-06-16,53.57883997959147,51.72493362426758,-0.034601464981885724,df_xlc
2020-07-Q1,2020-07-01,51.89723578709563,54.979278564453125,0.05938741689444374,df_xlc
2020-07-Q2,2020-07-16,54.50069865662204,55.63972473144531,0.020899293089793713,df_xlc
2020-08-Q1,2020-08-03,55.78329848832119,57.26689910888672,0.026595785132285287,df_xlc
2020-08-Q2,2020-08-17,57.48703829587871,60.54994583129883,0.05327996755817734,df_xlc
2020-09-Q1,2020-09-01,60.66481040830708,58.46334457397461,-0.03628900872705964,df_xlc
2020-09-Q2,2020-09-16,58.46335237520024,56.9755859375,-0.025447846852027906,df_xlc
2020-10-Q1,2020-10-01,57.44559017725625,58.289669036865234,0.014693536214084726,df_xlc
2020-10-Q2,2020-10-16,58.673344564222845,56.78375244140625,-0.03220529078154526,df_xlc
2020-11-Q1,2020-11-02,57.196202243521256,61.49335479736328,0.07513003285683663,df_xlc
2020-11-Q2,2020-11-16,61.51254175512925,62.7307014465332,0.019803436122884287,df_xlc
2020-12-Q1,2020-12-01,63.133565884546506,64.53398132324219,0.02218178902260402,df_xlc
2020-12-Q2,2020-12-16,64.63948488556885,64.82917785644531,0.0029346299898936018,df_xlc
